90^1^1^1^1^1^1^0^0^^^^6:00 PM^8:00 PM^$3 Well Drinks & $3 Domestic Beers
91^1^1^1^1^1^1^1^1^^^^4:00 PM^8:00 PM^
92^1^1^1^1^1^0^0^0^^^^5:00 PM^6:30 PM^
92^1^0^0^0^0^1^0^0^^^^4:00 PM^5:30 PM^
93^1^1^1^1^1^1^0^0^^^^4:00 PM^6:00 PM^
94^1^1^1^1^1^1^0^0^^^^4:00 PM^7:00 PM^
95^1^1^1^1^1^1^0^0^^^^11:00 AM^7:00 PM^
96^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^
97^1^1^1^1^1^1^0^0^^^^5:30 PM^6:30 PM^All Wines by the Bottle Half-Off
98^1^1^1^1^1^1^0^0^^^^6:00 PM^7:00 PM^All-U-Can Eat Sushi $25 and Endless Sake $14
99^1^1^1^1^1^0^0^0^^^^4:30 PM^6:30 PM^
99^1^0^0^0^0^1^1^1^^^^4:30 PM^6:00 PM^
100^1^1^1^1^1^1^0^0^^^^4:30 PM^6:00 PM^
101^1^1^1^1^1^1^0^0^^^^4:00 PM^7:00 PM^
102^1^1^1^0^0^0^0^1^^^^5:00 PM^10:00 PM^
102^1^0^0^1^1^1^0^0^^^^5:00 PM^7:00 PM^
103^1^1^1^1^1^0^0^0^^^^5:00 PM^7:00 PM^Half priced bottles of wine & discounted bites menu served from 5:30 pm to 6:30 pm
104^1^1^1^1^1^1^0^0^^^^5:00 PM^7:00 PM^30% off all select wines by-the-glass along with select food items
105^1^1^1^1^1^1^0^0^^^^4:00 PM^6:30 PM^
106^1^1^1^1^1^1^0^0^^^^4:00 PM^8:00 PM^$4 All Bottle Beer & $4 Bud Light/Coors Light Drafts & $13 Bud Light/Coors Light Pitchers & $16 Blue Moon Pitcher & $16 Any Beer Bucket & $5 Yacht Club Vodka Drinks
106^1^1^1^1^1^1^0^0^^^^8:00 PM^9:00 PM^$2 Fireball Shots & $2 Bud or Bud Light
107^1^1^1^1^1^1^1^1^^^^4:00 PM^7:00 PM^20% off Bottles & Glasses
108^1^0^0^0^1^1^0^0^^^^7:00 PM^10:00 PM^$1 draft beer
109^1^1^1^1^1^1^0^0^^^^5:00 PM^7:00 PM^
110^1^1^1^1^1^0^0^1^^^^5:00 PM^7:00 PM^
110^1^1^1^1^1^0^0^1^^^^9:00 PM^10:00 PM^From 9 PM to closing, $4 Beer & $6 Featured Cocktail and Wines
111^1^0^1^1^1^1^1^1^^^^5:00 PM^6:30 PM^
112^1^1^1^1^1^1^0^0^^^^2:30 PM^6:00 PM^
113^1^1^0^1^1^1^0^0^^^^5:00 PM^7:00 PM^$2 Miller High Life, $5 Prohibition Sweet Teas, $5 Moscow Mules
114^1^0^1^0^0^0^0^0^^^^4:00 PM^2:00 AM^"""Taco Tuesday"" $1 tacos & 2-for-1 margaritas ALL NIGHT"
115^1^1^1^1^1^1^0^0^^^^6:00 PM^9:00 PM^
116^1^1^1^1^1^1^0^0^^^^4:30 PM^7:00 PM^All draught beers $1 off
116^1^0^0^0^0^0^0^1^^^^4:00 PM^7:00 PM^All draught beers $1 off
117^1^1^1^1^1^1^0^0^^^^3:00 PM^6:00 PM^
118^1^1^1^1^1^1^0^0^^^^2:00 PM^6:00 PM^
119^1^1^1^1^1^1^0^0^^^^5:30 PM^7:00 PM^
120^1^1^1^1^1^1^0^0^^^^5:00 PM^8:00 PM^
121^1^1^1^1^1^1^0^0^^^^3:00 PM^8:00 PM^
122^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^$1 off all drafts and well drinks and $2 off our Classic Cocktail Menu
122^1^1^1^0^0^0^0^1^^^^11:00 PM^2:00 AM^$1 off all drafts and well drinks and $2 off our Classic Cocktail Menu
123^1^1^1^1^1^1^1^1^^^^5:00 PM^9:00 PM^$2 PBR, $3 well, $1 off draft beer
123^1^1^0^0^0^0^0^0^^^^9:00 PM^2:00 AM^$6 Hamms can & shot of Old Overholt Rye
123^1^0^1^0^0^0^0^0^^^^9:00 PM^2:00 AM^$4 Powers Irish Whisky shots
